assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
516093,135803,Bolitoglossa bramei,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,bramei,,,,"Wake, Savage &amp; Hanken, 2007",Least Concern,,3.1,Stable,Global
517753,136082,Bolitoglossa gomezi,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,gomezi,,,,"Wake, Savage &amp; Hanken, 2007",Endangered,B1ab(iii),3.1,Decreasing,Global
1280046,169678,Loxocemus bicolor,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,LOXOCEMIDAE,Loxocemus,bicolor,,,,"Cope, 1861",Least Concern,,3.1,Unknown,Global
1436679,176253,Mesaspis monticola,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,ANGUIDAE,Mesaspis,monticola,,,,"(Cope, 1877)",Least Concern,,3.1,Stable,Global
1446650,176798,Drymobius melanotropis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Drymobius,melanotropis,,,,"(Cope, 1876)",Least Concern,,3.1,Unknown,Global
1446864,176799,Drymobius rhombifer,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Drymobius,rhombifer,,,,"(Günther, 1860)",Least Concern,,3.1,Stable,Global
1447602,176805,Erythrolamprus bizona,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Erythrolamprus,bizona,,,,"Jan, 1863",Least Concern,,3.1,Unknown,Global
1447794,176806,Geophis brachycephalus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Geophis,brachycephalus,,,,"(Cope, 1871)",Least Concern,,3.1,Stable,Global
1448166,176808,Geophis ruthveni,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Geophis,ruthveni,,,,"Werner, 1925",Least Concern,,3.1,Stable,Global
1448570,176820,Imantodes inornatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Imantodes,inornatus,,,,"(Boulenger, 1896)",Least Concern,,3.1,Stable,Global
1450542,176869,Nothopsis rugosus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Nothopsis,rugosus,,,,"Cope, 1871",Least Concern,,3.1,Unknown,Global
1486938,177444,Pliocercus euryzonus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Pliocercus,euryzonus,,,,"Cope, 1862",Least Concern,,3.1,Unknown,Global
1489023,177498,Rhinobothryum bovallii,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Rhinobothryum,bovallii,,,,"Andersson, 1916",Least Concern,,3.1,Unknown,Global
1489242,177499,Siphlophis compressus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Siphlophis,compressus,,,,"(Daudin, 1803)",Least Concern,,3.1,Stable,Global
1490403,177507,Tantilla vermiformis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Tantilla,vermiformis,,,,"(Hallowell, 1861)",Least Concern,,3.1,Unknown,Global
1490721,177512,Urotheca guentheri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Urotheca,guentheri,,,,"(Dunn, 1938)",Least Concern,,3.1,Unknown,Global
1490925,177516,Trimetopon slevini,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Trimetopon,slevini,,,,"Dunn, 1940",Least Concern,,3.1,Unknown,Global
1493135,177564,Rhadinella serperaster,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Rhadinella,serperaster,,,,"(Cope, 1871)",Least Concern,,3.1,Stable,Global
