internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
135803,Bolitoglossa bramei,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,bramei,,,,,"Wake, Savage &amp; Hanken, 2007",Specimens formerly considered&#160;<em>Bolitoglossa robinisoni</em>&#160;from Valle El Silencio are now thought to belong to this species (E. Arias pers. comm. September 2019).
136082,Bolitoglossa gomezi,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,gomezi,,,,,"Wake, Savage &amp; Hanken, 2007",This species was confused with<em>&#160;Bolitoglossa pesrubra</em>&#160;prior to its naming (Wake <em>et al. </em>2007). It has been determined by mtDNA phylogeny to be part of the&#160;<em>B. subpalmata</em> clade (Boza-Oveido <em>et al.</em> 2012).
169678,Loxocemus bicolor,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,LOXOCEMIDAE,Loxocemus,bicolor,,,,,"Cope, 1861",
176253,Mesaspis monticola,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,ANGUIDAE,Mesaspis,monticola,,,,,"(Cope, 1877)",
176798,Drymobius melanotropis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Drymobius,melanotropis,,,,,"(Cope, 1876)",
176799,Drymobius rhombifer,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Drymobius,rhombifer,,,,,"(Günther, 1860)",
176805,Erythrolamprus bizona,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Erythrolamprus,bizona,,,,,"Jan, 1863",
176806,Geophis brachycephalus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Geophis,brachycephalus,,,,,"(Cope, 1871)",
176808,Geophis ruthveni,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Geophis,ruthveni,,,,,"Werner, 1925",
176820,Imantodes inornatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Imantodes,inornatus,,,,,"(Boulenger, 1896)",
176869,Nothopsis rugosus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Nothopsis,rugosus,,,,,"Cope, 1871",
177444,Pliocercus euryzonus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Pliocercus,euryzonus,,,,,"Cope, 1862",
177498,Rhinobothryum bovallii,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Rhinobothryum,bovallii,,,,,"Andersson, 1916",
177499,Siphlophis compressus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Siphlophis,compressus,,,,,"(Daudin, 1803)",
177507,Tantilla vermiformis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Tantilla,vermiformis,,,,,"(Hallowell, 1861)","This species is part of the <span style=""font-style: italic;"">Tantilla calamarina</span> species group (Wilson 1999, Canseco-Márquez <span style=""font-style: italic;"">et al</span>. 2007)."
177512,Urotheca guentheri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Urotheca,guentheri,,,,,"(Dunn, 1938)",
177516,Trimetopon slevini,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Trimetopon,slevini,,,,,"Dunn, 1940",
177564,Rhadinella serperaster,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Rhadinella,serperaster,,,,,"(Cope, 1871)",
178224,Lepidoblepharis xanthostigma,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SPHAERODACTYLIDAE,Lepidoblepharis,xanthostigma,,,,,"(Noble, 1916)","A taxonomic revision is required since this taxon was first described as the subspecies&#160;<em>Lepidoblepharis festae colombianus</em>&#160;by Mechler in 1968, and later elevated to species level by Vanzolini as&#160;<em>L. columbianus</em>&#160;in 1978. However,&#160;<em>L. xanthostigma</em>&#160;is reported to inhabit the same biogeographic zone in Colombia as&#160;<em>L. columbianus</em>, and these two may be conspecific. Further, the morphological difference between&#160;<em>L. xanthostigma</em>&#160;and&#160;<em>L. columbianus</em>&#160;are based on body size and other uninformative characters (J.C. Arredondo pers. comm. 2010)."
178254,Echinosaura apodemus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GYMNOPHTHALMIDAE,Echinosaura,apodemus,,,,,"(Uzzell, 1966)",
178294,Lepidophyma reticulatum,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,XANTUSIIDAE,Lepidophyma,reticulatum,,,,,"Taylor, 1955",
178482,Holcosus quadrilineatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,TEIIDAE,Holcosus,quadrilineatus,,,,,"(Hallowell, 1861)",
178644,Anolis altae,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,altae,,,,,"Dunn, 1930",
178714,Aspidoscelis deppii,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,TEIIDAE,Aspidoscelis,deppii,,,,,"(Wiegmann, 1834)",
178725,Anolis carpenteri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,carpenteri,,,,,"Echelle, Echelle &amp; Fitch, 1971",
186063,Bolitoglossa robinsoni,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,robinsoni,,,,,"Bolaños &amp; Wake, 2009","The specimens tentatively assigned to this species&#160;might represent four to five different species (Bolaños and Wake 2009,&#160;Hertz 2015)."
