internalTaxonId,scientificName,name,language,main
10030,Hexanchus griseus,Bluntnose Sixgill Shark,English,true
135803,Bolitoglossa bramei,Brame's Web-footed Salamander,English,true
136082,Bolitoglossa gomezi,Gomez’s Web-footed Salamander,English,true
161373,Pseudobatos percellens,Southern Guitarfish,English,false
161373,Pseudobatos percellens,Fiddlerfish,South American Indian (Other),false
161373,Pseudobatos percellens,Guitarra,South American Indian (Other),false
161373,Pseudobatos percellens,Guitarra Chola,Spanish; Castilian,false
161373,Pseudobatos percellens,Poisson-guitare Chola,French,false
161373,Pseudobatos percellens,Puraque,South American Indian (Other),false
161373,Pseudobatos percellens,Viola,Portuguese,false
161373,Pseudobatos percellens,Chola Guitarfish,English,true
161436,Myliobatis goodei,Aigle de Mer du Sud,French,false
161436,Myliobatis goodei,Chucho Amarillo,Spanish; Castilian,false
161436,Myliobatis goodei,Southern Eagle Ray,English,true
161564,Carcharhinus altimus,Knopp's Shark,English,false
161564,Carcharhinus altimus,Baboso,Spanish; Castilian,false
161564,Carcharhinus altimus,Grootsnuithaai,Dutch; Flemish,false
161564,Carcharhinus altimus,Bignose Shark,English,true
161610,Dipturus teevani,Caribbean Skate,English,true
161682,Cruriraja rugosa,Rough Pygmy Skate,English,true
178644,Anolis altae,High Anole,English,true
178725,Anolis carpenteri,Carpenter Anole,English,true
186063,Bolitoglossa robinsoni,Robinson’s Web-footed Salamander,English,true
186104,Bolitoglossa pygmaea,Pygmy Web-footed Salamander,English,true
197440,Anolis cristatellus,Puerto Rico Crested Anole,English,true
197443,Anolis sagrei,Brown Anole,English,false
197443,Anolis sagrei,Cuban Brown Anole,English,true
203077,Anolis aquaticus,Aquatic Anole,English,true
203078,Anolis auratus,Grass Anole,English,true
203089,Anolis frenatus,Bridled Anole,English,true
203095,Anolis humilis,Humble Anole,English,true
203097,Anolis insignis,Decorated Anole,English,true
203100,Anolis kemptoni,Kempton's Anole,English,true
203104,Anolis limifrons,Border Anole,English,true
203115,Anolis polylepis,Many-scaled Anole,English,true
203123,Anolis townsendi,Cocos Island Anole,English,true
203132,Anolis woodi,Wood's Anole,English,true
203676,Anolis pachypus,Thick Anole,English,true
39368,Carcharhinus brevipinna,Longnose Grey Shark,English,false
39368,Carcharhinus brevipinna,Jaqueton,Spanish; Castilian,false
39368,Carcharhinus brevipinna,Jarjur Naudth,Arabic,false
39368,Carcharhinus brevipinna,Spinner Shark,English,true
41823,Heptranchias perlo,Sharpnose Sevengill Shark,English,true
44595,Rhinoptera brasiliensis,Ticon Cownose Ray,English,false
44595,Rhinoptera brasiliensis,Brazilian Cownose Ray,English,true
54560,Atelopus varius,Clown Frog,English,false
54560,Atelopus varius,Golden Frog,English,false
54560,Atelopus varius,Painted Frog,English,false
54560,Atelopus varius,Veragoa Stubfoot Toad,English,false
54560,Atelopus varius,Rana Arlequin Variable,Spanish; Castilian,false
54560,Atelopus varius,Variable Harlequin Frog,English,true
54960,Cochranella euknemos,Ranita de Cristal,Spanish; Castilian,false
54960,Cochranella euknemos,San Jose Cochran Frog,English,true
55121,Silverstoneia nubicola,Boquete Rocket Frog,English,true
55186,Oophaga granulifera,Granular Poison-arrow Frog,English,false
55186,Oophaga granulifera,Granulated Poison-dart Frog,English,false
55186,Oophaga granulifera,Granular Poison Frog,English,true
151594717,Cruziohyla calcarifer,Rana de Arból Esplendida,Spanish; Castilian,false
151594717,Cruziohyla calcarifer,Splendid Tree Frog,English,true
77651850,Agalychnis spurrelli,Gliding Leaf Frog,English,false
77651850,Agalychnis spurrelli,Gliding Treefrog,English,true
55296,Triprion spinosus,Coronated Treefrog,English,false
55296,Triprion spinosus,Crowned Hyla,English,false
55296,Triprion spinosus,Spine-headed Tree Frog,English,false
55296,Triprion spinosus,Spinyhead Treefrog,English,false
55296,Triprion spinosus,Rana de Corona,Spanish; Castilian,false
55296,Triprion spinosus,Spiny-headed Treefrog,English,true
55482,Ecnomiohyla fimbrimembra,Heredia Treefrog,English,true
55586,Hyloscirtus palmeri,Palmer's Treefrog,English,true
55627,Isthmohyla rivularis,American Cinchona Plantation Treefrog,English,true
55701,Isthmohyla zeteki,Zetek's Treefrog,English,true
55855,Agalychnis lemur,Lemur Leaf Frog,English,true
56406,Pristimantis altae,Sapito De Hojarasca,Spanish; Castilian,false
56406,Pristimantis altae,Mountain Robber Frog,English,true
56482,Strabomantis bufoniformis,Rusty Robber Frog,English,true
56497,Pristimantis caryophyllaceus,La Loma Robber Frog,English,true
56777,Pristimantis moro,La Hondura Robber Frog,English,true
154033310,Craugastor podiciferus,Piglet Flesh-bellied Frog,English,false
154033310,Craugastor podiciferus,Polymorphic Dirt Frog,English,false
154033310,Craugastor podiciferus,Cerro Utyum Robber Frog,English,true
56995,Craugastor taurus,South Pacific Streamside Frog,English,false
56995,Craugastor taurus,Golfito Robber Frog,English,true
59147,Bolitoglossa colonnea,La Loma Salamander,English,true
59155,Bolitoglossa diminuta,Quebrada Valverde Salamander,English,true
