internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
10030,Hexanchus griseus,"Notidanus  griseus (Bonnaterre, 1788)",Notidanus ,griseus,"(Bonnaterre, 1788)",,
10030,Hexanchus griseus,"Hexanchus  corinus Jordan & Gilbert, 1880",Hexanchus ,corinus,"Jordan & Gilbert, 1880",,
10030,Hexanchus griseus,"Squalus  vacca	 Bloch & Schneider, 1801",Squalus ,vacca	,"Bloch & Schneider, 1801	",,
10030,Hexanchus griseus,"Monopterinus  griseus (Bonnaterre, 1788)",Monopterinus ,griseus,"(Bonnaterre, 1788)",,
10030,Hexanchus griseus,"Notidanus  monge Risso, 1827",Notidanus ,monge,"Risso, 1827",,
10030,Hexanchus griseus,"Squalus griseus Bonnaterre, 1788",Squalus,griseus,"Bonnaterre, 1788",,
10030,Hexanchus griseus,"Notidanus  vulgaris Pérez Canto, 1886",Notidanus ,vulgaris,"Pérez Canto, 1886	",,
10030,Hexanchus griseus,"Hexanchus  griseus  ssp. australis	 de Buen, 1960",Hexanchus ,griseus ,,subspecies,"de Buen, 1960	"
161373,Pseudobatos percellens,"Rhinobatos percellens (Walbaum, 1792)",Rhinobatos,percellens,"(Walbaum, 1792)",,
161373,Pseudobatos percellens,"Raja percellens Walbaum, 1792",Raja,percellens,"Walbaum, 1792",,
161564,Carcharhinus altimus,"Eulamia altima Springer, 1950",Eulamia,altima,"Springer, 1950",,
161564,Carcharhinus altimus,"Carcharhinus  radamae Fourmanoir, 1961",Carcharhinus ,radamae,"Fourmanoir, 1961",,
161610,Dipturus teevani,"Raja teevani Bigelow & Schroeder, 1951",Raja,teevani,"Bigelow & Schroeder, 1951",,
178644,Anolis altae,"Norops altae (Dunn, 1930)",Norops,altae,"(Dunn, 1930)",,
178644,Anolis altae,"Anolis achilles Taylor, 1956",Anolis,achilles,"Taylor, 1956",,
178725,Anolis carpenteri,"Anolis procellaris Myers, 1971",Anolis,procellaris,"Myers, 1971",,
178725,Anolis carpenteri,"Norops carpenteri (Echelle, Echelle & Fitch, 1971)",Norops,carpenteri,"(Echelle, Echelle & Fitch, 1971)",,
197437,Anolis lemurinus,"Anolis rhombifer Boulenger, 1894",Anolis,rhombifer,"Boulenger, 1894",,
197440,Anolis cristatellus,"Anolis cozumelae Smith, 1939",Anolis,cozumelae,"Smith, 1939",,
197442,Anolis capito,"Norops capito (Peters, 1863)",Norops,capito,"(Peters, 1863)",,
197443,Anolis sagrei,"Norops sagrei (Duméril & Bibron, 1837)",Norops,sagrei,"(Duméril & Bibron, 1837)",,
197444,Anolis pentaprion,"Norops pentaprion (Cope, 1862)",Norops,pentaprion,"(Cope, 1862)",,
197444,Anolis pentaprion,"Norops cristifer (Cope, 1862)",Norops,cristifer,"(Cope, 1862)",,
197448,Anolis cupreus,"Norops cupreus (Hallowell, 1860)",Norops,cupreus,"(Hallowell, 1860)",,
203077,Anolis aquaticus,"Norops aquaticus, (Taylor, 1956)",Norops,"aquaticus,","(Taylor, 1956)",,
203088,Anolis datzorum,"Norops datzorum ( Köhler, Ponce, Sunyer & Batista, 2007)",Norops,datzorum,"( Köhler, Ponce, Sunyer & Batista, 2007)",,
203089,Anolis frenatus,"Dactyloa frenata (Cope, 1899)",Dactyloa,frenata,"(Cope, 1899)",,
203095,Anolis humilis,"Norops humilis (Peters, 1863)",Norops,humilis,"(Peters, 1863)",,
203096,Anolis ibanezi,"Dactyloa ibanezi (Poe, Latella, Ryan & Schaad, 2009)",Dactyloa,ibanezi,"(Poe, Latella, Ryan & Schaad, 2009)",,
203096,Anolis ibanezi,Anolis chocorum Myers 1971 (in part),Anolis,chocorum,Myers 1971 (in part),,
203097,Anolis insignis,"Dactyloa insignis (Cope, 1871)",Dactyloa,insignis,"(Cope, 1871)",,
203097,Anolis insignis,Diaphoranolis brooksi Barbour 1923,Diaphoranolis,brooksi,Barbour 1923,,
203100,Anolis kemptoni,"Norops kemptoni (Dunn, 1940)",Norops,kemptoni,"(Dunn, 1940)",,
203100,Anolis kemptoni,"Anolis pandoensis (Savage & Guyer, 1998)",Anolis,pandoensis,"(Savage & Guyer, 1998)",,
203104,Anolis limifrons,"Norops limifrons (Cope, 1871)",Norops,limifrons,"(Cope, 1871)",,
203107,Anolis microtus,"Dactyloa microtus, (Cope, 1871)",Dactyloa,"microtus,","(Cope, 1871)",,
203112,Anolis oxylophus,"Norops oxylophus (Cope, 1876)",Norops,oxylophus,"(Cope, 1876)",,
203115,Anolis polylepis,"Norops polylepis (Peyers, 1874)",Norops,polylepis,"(Peyers, 1874)",,
203123,Anolis townsendi,"Norops townsendi (Stejneger, 1900)",Norops,townsendi,"(Stejneger, 1900)",,
203125,Anolis tropidolepis,"Norops tropidolepis (Boulenger, 1885)",Norops,tropidolepis,"(Boulenger, 1885)",,
203132,Anolis woodi,"Norops woodi (Dunn, 1940)",Norops,woodi,"(Dunn, 1940)",,
203676,Anolis pachypus,"Norops pachypus (Cope, 1876)",Norops,pachypus,"(Cope, 1876)",,
39368,Carcharhinus brevipinna,"Carcharias brevipinna Müller & Henle, 1839",Carcharias,brevipinna,"Müller & Henle, 1839",,
39368,Carcharhinus brevipinna,"Isogomphodon  maculipinnis Poey, 1865",Isogomphodon ,maculipinnis,"Poey, 1865",,
39368,Carcharhinus brevipinna,"Uranga  nasuta Whitley, 1943",Uranga ,nasuta,"Whitley, 1943",,
39368,Carcharhinus brevipinna,"Longmania  calamaria Whitley, 1944",Longmania ,calamaria,"Whitley, 1944",,
39368,Carcharhinus brevipinna,"Aprionodon  caparti Poll, 1951",Aprionodon ,caparti,"Poll, 1951",,
39368,Carcharhinus brevipinna,"Carcharhinus  johnsoni Smith, 1951",Carcharhinus ,johnsoni,"Smith, 1951",,
39368,Carcharhinus brevipinna,"Galeolomna fowleri Whitley,1944",Galeolomna,fowleri,"Whitley,1944",,
41823,Heptranchias perlo,"Heptranchias dakini Whitley, 1931",Heptranchias,dakini,"Whitley, 1931",,
41823,Heptranchias perlo,"Squalus  perlo Bonnaterre, 1788",Squalus ,perlo,"Bonnaterre, 1788",,
41823,Heptranchias perlo,"Heptranchias  angio Costa, 1857",Heptranchias ,angio,"Costa, 1857",,
