"Species","pa","X","Y","bio1_23","bio2_23","bio3_23","bio4_23","bio5_23","bio6_23","bio7_23","bio8_23","bio9_23","bio10_23","bio11_23","bio12_23","bio13_23","bio14_23","bio15_23","bio16_23","bio17_23","bio18_23","bio19_23","alt_23"
"Tolomuco",1,556805.35297871,1116175.84139927,256.653432544026,88.1729670737523,79.0129742652752,733.555451125007,314.82415549708,203.664162688602,111.159992808477,247.664162688602,261.837129762355,266.653432544026,247.664162688602,3637.12236095664,449.423593122933,176.06852832764,27.3233500909649,1142.77557465603,620.66412126279,717.860290972036,1136.67055020407,121.429770969418
"Tolomuco",1,494430.983001214,1073954.7020726,163.155879455499,94.872452911256,81.5532568624528,549.020191505655,222.92181864185,106.744905822512,116.176912819338,164.013596226034,159.460339363581,168.510845008863,155.155879455499,2115.33525398799,364.718058496358,26.6672077251629,66.7449058225121,934.503810340922,86.8166165644597,593.074268505861,296.724527452302,1841.74033465157
"Tolomuco",1,571707.995406693,930293.026211898,263.304617529779,104.915895157263,75.1919949693725,733.959732899812,337.808005030627,198.580717341888,139.227287688739,256.304617529779,265.304617529779,274.304617529779,255,3872.00853614718,661.057035435338,73.0285177176689,56.1919949693725,1649.86240364038,252.893558183634,664.645976089193,1359.25316858082,24.287760962014
"Tolomuco",1,530218.231426431,955684.828403652,262.218644230444,109.593785256519,76.1471127464792,760.346636292772,338.218644230444,195.325299210364,142.893345020079,254.365756976923,263.218644230444,273.218644230444,252.365756976923,5066.08248795445,816.383396866626,65.650598420729,59.5937852565188,2219.40980146618,309.045016414405,827.853396122817,1689.87395758247,40.5511815427664
"Tolomuco",1,594648.918189202,957760.176862601,259.146015978421,103.32868274731,75.528443675649,748.196602037745,331.874061421038,195.361083184506,136.512978236532,254.218209607465,261.146015978421,270.146015978421,250.146015978421,3971.35236912344,648.637577947273,91.2445718096842,52.3824276972282,1587.45892481162,322.673976366244,778.629340297725,1277.12734623071,152.261673448364
"Tolomuco",1,573856.969111194,929920.301562796,258.054418565946,105.695988664596,75.6959886645962,749.227432881355,332.969460244781,193.969460244781,139,250.467971000463,260.248917986224,269.054418565946,249.273471580185,3695.45640265761,656.964148866755,65.1609519924357,58.6989671532318,1599.34408803912,225.197441258592,635.274109713096,1300.33745627862,130.000497912164
"Tolomuco",1,578184.363817321,927462.5369761,256.634361777688,105.818259504515,75.5808650517256,739.020168774425,331.452621282202,192.415518644,139.037102638202,249.215226829413,258.434069963101,267.634361777688,247.634361777688,3524.16456706658,639.562470123876,60.5081188482537,60.0371026382024,1534.22415932397,205.613496835993,601.524512936013,1244.5302145022,158.173057403344
"Tolomuco",1,578197.843153121,927438.783344391,256.634361777688,105.818259504515,75.5808650517256,739.020168774425,331.452621282202,192.415518644,139.037102638202,249.215226829413,258.434069963101,267.634361777688,247.634361777688,3524.16456706658,639.562470123876,60.5081188482537,60.0371026382024,1534.22415932397,205.613496835993,601.524512936013,1244.5302145022,158.173057403344
"Tolomuco",1,599152.435319149,950223.789278668,263.930043821464,101.327665739136,74.3276657391361,766.39847675655,336.177473967931,200.849808228795,135.327665739136,257.077675699898,265.849808228795,275.177473967931,255.09467848249,3718.81818419003,609.129665371397,82.9290875116087,52.3302256319072,1478.03692870809,293.182324559727,682.198363617872,1232.36559801472,46.102677382285
"Tolomuco",1,582307.795694416,957680.226662496,264.243274889602,103.756725110398,75,719.946199116813,336.243274889602,199.243274889602,137,257.243274889602,265.243274889602,274.486549779203,255.486549779203,4818.46316208339,725.189474006415,134.45964933761,46,1842.02807135685,458.865497792032,962.352047571236,1540.02807135685,51.4046775391626
"Tolomuco",1,547814.626182695,1087197.97835754,208.899654339028,99.1517933302681,81,664.601381647759,272.156771046155,151.004977715887,121.151793330268,204.90489938919,213.156771046155,217.244224965252,199.835314927856,2779.59211911846,316.357195033824,86.835207657434,34.1696627880308,897.227874272509,328.420597091473,473.104092292346,722.001571558451,1028.21625574898
"Tolomuco",1,318667.745867516,1177294.38685694,259.66958153517,109,73.3326046162076,781.682698443433,339.66958153517,192.002186151377,147.667395383792,255.002186151377,259.66958153517,270.66958153517,251.002186151377,1509.27795083178,360.295440042794,0,93.6630230810379,821.277950831776,2,190.323860010699,487.641161567265,83.9519046697003
