"ProtConn indicator","Values (%)","SD","SEM","normal.lower","normal.upper","basic.lower","basic.upper","percent.lower","percent.upper","bca.lower","bca.upper"
"EC(PC)",75786.153,56559.94,17885.823,100,100,100,100,100,100,100,100
"PC",0.03,0.03,0.01,0.011,0.048,0.011,0.047,0.013,0.048,0.013,0.049
"Prot",19.394,11.565,3.657,12.354,26.39,12.374,26.214,12.574,26.414,12.568,26.396
"Unprotected",80.606,11.565,3.657,73.61,87.646,73.786,87.626,73.586,87.426,73.604,87.432
"ProtConn",14.451,9.867,3.12,8.451,20.424,8.468,20.369,8.533,20.434,8.535,20.493
"ProtUnconn",4.943,1.997,0.632,3.728,6.141,3.779,6.231,3.655,6.107,3.486,5.998
"RelConn",69.65,10.853,3.432,63.093,76.233,63.363,76.538,62.763,75.937,62.452,75.544
"ProtConn_Prot",99.244,0.834,0.264,98.751,99.723,98.783,99.783,98.705,99.705,98.616,99.628
"ProtConn_Trans",0,0,0,0,0.001,0,0.001,0,0.001,0,0.001
"ProtConn_Unprot",0.756,0.834,0.264,0.277,1.248,0.217,1.216,0.295,1.295,0.372,1.384
"ProtConn_Within",83.64,14.604,4.618,74.987,92.286,75.561,93.356,73.925,91.72,73.04,91.212
"ProtConn_Contig",16.36,14.604,4.618,7.714,25.013,6.644,24.439,8.28,26.075,8.788,26.96
"ProtConn_Within_land",11.299,7.804,2.468,6.517,16.046,6.299,15.816,6.782,16.299,7.266,16.762
"ProtConn_Contig_land",3.152,3.333,1.054,1.171,5.141,0.947,5.02,1.283,5.356,1.473,5.721
"ProtConn_Unprot_land",0.062,0.051,0.016,0.032,0.093,0.028,0.091,0.033,0.096,0.039,0.104
"ProtConn_Trans_land",0,0,0,0,0,0,0,0,0,0,0
