Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Gatica, G.N., Sequeira, F.A.","7003823449; 48161853600","An L p spaces-based mixed virtual element method for the two-dimensional Navier-Stokes equations",2021,"Mathematical Models and Methods in Applied Sciences",31,"14",,2937,2977,,1,10.1142/S0218202521500664,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85121853106&partnerID=40&md5=505e2678875a88c8b87393fdf76b8bac",Article,Final,"",Scopus,2-s2.0-85121853106
"Durán Sosa, R., Alexandre Castanho, R.","57395676800; 57192910839","Methodological development for teaching environmental management within the framework of the university research and teaching project in the Central of Heredia (March to September 2020), Costa Rica. A preliminary study",2021,"IOP Conference Series: Earth and Environmental Science",900,"1", 012041,,,,,10.1088/1755-1315/900/1/012041,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85122202763&partnerID=40&md5=62e0961ada43bc03b15f84bf861b3d2b",Conference Paper,Final,"All Open Access, Gold",Scopus,2-s2.0-85122202763
"Martínez, J.F., Galina, C.S., Ortiz, P., Corro, M.D., Rubio, I., Romero-Zuñiga, J.J.","57221948149; 56000744500; 57221966703; 20233674700; 56249208300; 35362709300","Backfat Thickness Does Affect the Restoration of Ovarian Activity Postpartum in Different Breeding Programs in Zebu Cattle",2021,"Frontiers in Veterinary Science",8,"", 794632,,,,,10.3389/fvets.2021.794632,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85121574828&partnerID=40&md5=a28d43650ed11d7cfa6fd9a550804bda",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85121574828
"Barry, P.H., Bekaert, D.V., Krantz, J.A., Halldórsson, S.A., de Moor, J.M., Fischer, T.P., Werner, C., Kelly, P.J., Seltzer, A.M., Franz, B.P., Kulongoski, J.T.","35239631700; 57194547332; 57209365209; 24605297500; 8651296800; 7402051549; 7201754294; 36907376000; 57220348267; 57296999800; 6506451638","Helium-carbon systematics of groundwaters in the Lassen Peak Region",2021,"Chemical Geology",584,"", 120535,,,,,10.1016/j.chemgeo.2021.120535,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85117137740&partnerID=40&md5=147e855d17c8ff56ac4a78fe41ff798f",Article,Final,"",Scopus,2-s2.0-85117137740
"Saldaña-Vázquez, R.A., Villalobos, F., Hernández-Montero, J.R., Ferreyra-García, D., Molina-Rodríguez, J.P.","34768969200; 8521308500; 35077792100; 57202918405; 57459444000","Ecoregions Occupied are More Related to Diet Diversity than Body Mass in Artibeina Bats",2021,"Acta Chiropterologica",23,"2",,387,393,,,10.3161/15081109ACC2021.23.2.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85124942022&partnerID=40&md5=e68967dde6f6fb06422a81288d6eeb3e",Article,Final,"",Scopus,2-s2.0-85124942022
"Gavarrete, M.E., Albanese, V.","57204489592; 55849834800","50 meters east from the ancient big fig tree: cultural ways of approaching spatial location with ethnomathematical potential | 50 metros al este del antiguo Higuerón: formas culturales de abordar la localización espacial con potencialidades etnomatemáticas",2021,"Bolema - Mathematics Education Bulletin",35,"71",,1678,1700,,,10.1590/1980-4415V35N71A21,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85123636994&partnerID=40&md5=5a6f5496d69d05005f135192b8607613",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85123636994
"Dutra E Silva, S., Da Silva Braz, V., Picado, W.","57189625046; 24824001000; 55151143000","Fire Creature, Fire Planet: An Interview with Stephen Pyne",2021,"Historia Ambiental Latinoamericana y Caribena",11,"3",,411,425,,,10.32991/2237-2717.2021V11I3.P411-425,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85122634332&partnerID=40&md5=5e5be41e0cfcb57bd880a08c55bd4190",Note,Final,"All Open Access, Gold",Scopus,2-s2.0-85122634332
"Lazo-Láscarez, S., Gutiérrez, L.Z., Duarte-Martínez, F., Romero Zúñiga, J.J., Arias Echandi, M.L., Muñoz-Vargas, L.","57390564400; 57390611300; 36191677900; 35362709300; 7202940698; 57195509809","Antimicrobial Resistance and Genetic Diversity of Campylobacter spp. Isolated from Broiler Chicken at Three Levels of the Poultry Production Chain in Costa Rica",2021,"Journal of food protection",84,"12",,2143,2150,,1,10.4315/JFP-21-111,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85121963648&partnerID=40&md5=44af058880b6f5a746e6a29e332ee2a4",Article,Final,"",Scopus,2-s2.0-85121963648
"Chacón, L., Arias-Andres, M., Mena, F., Rivera, L., Hernández, L., Achi, R., Garcia, F., Rojas-Jimenez, K.","57205111534; 55587726300; 55368985600; 57388316600; 57388796900; 6603097466; 57645845900; 8961501600","Short-term exposure to benzalkonium chloride in bacteria from activated sludge alters the community diversity and the antibiotic resistance profile",2021,"Journal of Water and Health",19,"6",,895,906,,,10.2166/wh.2021.171,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85121930067&partnerID=40&md5=021e0dfdd44eda4e371464d634120276",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85121930067
"Castillo-Henríquez, L., Sanabria-Espinoza, P., Murillo-Castillo, B., de Oca-Vásquez, G.M., Batista-Menezes, D., Calvo-Guzmán, B., Ramírez-Arguedas, N., Vega-Baudrit, J.","57210908273; 57377520900; 57377211400; 57194943032; 57377991800; 57210908233; 56491367500; 8611304200","Topical chitosan-based thermo-responsive scaffold provides dexketoprofen trometamol controlled release for 24 h use",2021,"Pharmaceutics",13,"12", 2100,,,,2,10.3390/pharmaceutics13122100,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85121433021&partnerID=40&md5=4d24bf1adda0cc6972d96eb85934bfb4",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85121433021
"Martínez, J.F., Galina, C.S., Ortiz, P., Maquivar, M.G., Romero-Zúñiga, J.J.","57221948149; 56000744500; 57221966703; 6507956078; 35362709300","Effects of season on donor and recipient cows and calf performance from birth to weaning in embryo transfer programs in the tropics",2021,"Animals",11,"12", 3596,,,,,10.3390/ani11123596,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85121308278&partnerID=40&md5=56bdf17ca03782554ca5fa5a71753645",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85121308278
"Gutiérrez-Vargas, R., Ugalde-Ramírez, A., Rico-González, M., Pino-Ortega, J., González-Hernández, J., Rojas-Valverde, D.","57193236110; 57200116306; 57211447357; 36343991000; 26644879300; 57193240720","A systematic review of the effects of football playing on changes in serum brain-derived neurotrophic factor level",2021,"Applied Sciences (Switzerland)",11,"24", 11828,,,,,10.3390/app112411828,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85121229209&partnerID=40&md5=d20f806ea6282514a1fb82b42a77ab8d",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85121229209
